target,trait,model,cultivar_ascii,n,rmse,mae,bias,r2,pearson_r,ccc,rpd,rpiq,y_mean,y_sd
post_break_work_g_rawpos_mean,PRW,global_pls,L31,216,648.2796303840928,613.9758437258655,612.0906095014483,-11.148152002642332,0.2894490223070265,0.0421595720548255,0.2875759326483871,0.46118639032186903,306.19750490206417,186.42961932465715
post_break_work_g_rawpos_mean,PRW,global_pls,Naili,144,437.50687350405076,324.6165079155942,-172.94161132731344,0.2171602810710005,0.5848676685622614,0.4871649935063309,1.1341664629425303,1.6436182997623747,1233.9381482005606,496.2056232351343
post_break_work_g_rawpos_mean,PRW,global_pls,Qingcuili,329,559.3708338420003,430.70274741531136,-253.0018582938582,-0.21421408111442175,0.27605629311418567,0.17948125119495148,0.9088943309441673,1.39154663885864,1098.8780984395628,508.4089797745058
post_break_work_g_rawpos_mean,PRW,global_pls,Weidi,681,299.57482108540535,242.978756969419,134.7174542295997,-3.3198521307597604,0.4602527810958553,0.30819048171414576,0.48148710338489725,0.6436378179527709,270.8962439386038,144.24141285146067
post_break_work_g_rawpos_mean,PRW,global_pls,Weijin,320,370.9438770053074,277.29348162429994,-105.01957027059366,-0.2333405084618987,0.1897885552429457,0.15646821966887653,0.9018579742397735,1.0362644274193655,1272.3389383913466,334.53869347265424
post_break_work_g_rawpos_mean,PRW,global_pls,Weiwang,478,596.5059256220829,471.9163033498131,15.784468136851634,-0.07167018509898582,0.082230381178622,0.052484153492620894,0.9669949022331882,1.191755934959835,1248.8175231489936,576.8181892284435
post_break_work_g_rawpos_mean,PRW,global_pls,Weixin,191,451.30478361977026,350.5219583993077,-164.73921695293822,-0.26869252874916927,0.1313889593337713,0.0892810073869537,0.8901469169282111,1.190872561125635,1164.1255215114907,401.7275617340919
post_break_work_g_rawpos_mean,PRW,global_pls,Zaoshu Konglongdan,264,334.63001070376606,236.6768955755189,-52.20055380061661,-2.355120848098073,0.07810665642751538,0.06884377836303812,0.5469781844385356,0.7741416187351754,699.5038383105133,183.03531571339371
post_break_work_g_rawpos_mean,PRW,cultivar_aware_pls,3.13,300,205.0700237417601,159.14316523527052,0.9326994905842135,-0.8578666729154125,0.3726496861082232,0.35483334099625197,0.73488225558746,0.9210078894975247,272.73540617598485,150.70232160071865
post_break_work_g_rawpos_mean,PRW,cultivar_aware_pls,A181,310,281.4847878126603,219.58805264833407,0.3942177892407574,-0.20557966445382614,0.17933982957795963,0.16556892196379105,0.9122285292164065,1.188218348907069,766.4432036982179,256.77845398313536
post_break_work_g_rawpos_mean,PRW,cultivar_aware_pls,Cuihongli,295,312.3804447411495,254.80081355471836,0.09581916349222211,-0.365730929796656,-0.03309535819875693,-0.0285416880878906,0.8571459358479513,1.2262753551007801,865.158839592667,267.75562864825184
post_break_work_g_rawpos_mean,PRW,cultivar_aware_pls,Fengtangli,183,454.96760086603734,382.02677628809937,-1.421657936449887,-0.07723764597912464,0.16260225711027387,0.12761826987195204,0.9661267117509725,1.649986858474412,697.7566333188962,439.5563521779336
post_break_work_g_rawpos_mean,PRW,cultivar_aware_pls,Fengwei Huanghou,86,454.7087002439639,358.9712316528669,-0.32371786521303175,-0.011475426980823045,0.19851190104985453,0.14270561764760448,1.0001429882593038,1.1291550546894806,1484.5804083633604,454.77371824950205
post_break_work_g_rawpos_mean,PRW,cultivar_aware_pls,Furongli,278,674.279522827238,530.0754136030715,-1.098833228574526,0.10085868351404048,0.34962305939927374,0.1365885940050161,1.056497652059614,1.3200704134670875,1896.542678753129,712.3747326988539
post_break_work_g_rawpos_mean,PRW,cultivar_aware_pls,Konglongdan,778,593.5917356179508,472.3350376468566,-1.5499134679532132,0.019776895443680664,0.2042744364628185,0.12807073410935954,1.0106873305156883,1.323807783733123,1367.145429223426,599.9356466878809
post_break_work_g_rawpos_mean,PRW,cultivar_aware_pls,L31,216,207.41877144800446,166.4591870862103,0.8303468149982918,-0.24360248402075224,0.22722427119628316,0.2197161823034559,0.8988078466726005,1.4414208539027176,306.19750490206417,186.42961932465715
post_break_work_g_rawpos_mean,PRW,cultivar_aware_pls,Naili,144,454.5863059188367,364.45701202587395,-0.2241577790022341,0.15484612115744156,0.3963138752398132,0.29371314214575645,1.0915542698369987,1.5818653008246795,1233.9381482005606,496.2056232351343
