sample_id,cultivar_code,trait,value
KLD_B02-0227,KLD,AF,134.2323220069724
KLD_B02-0243,KLD,AF,98.57330556039155
KLD_B02-0247,KLD,AF,129.60072843195326
KLD_B02-0248,KLD,AF,109.29165617450624
KLD_B02-0258,KLD,AF,95.95555826362357
KLD_B02-0264,KLD,AF,100.65378919241007
KLD_B02-0265,KLD,AF,95.42707050037471
KLD_B02-0267,KLD,AF,73.26509307355221
KLD_B02-0268,KLD,AF,125.6378883000996
KLD_B02-0269,KLD,AF,79.60783869709789
KLD_B02-0272,KLD,AF,54.049141157257964
KLD_B02-0277,KLD,AF,74.90678163054002
KLD_B02-0281,KLD,AF,112.02081279710404
KLD_B02-0283,KLD,AF,174.08919425271148
KLD_B02-0284,KLD,AF,173.16355976053651
KLD_B02-0288,KLD,AF,104.53838993122436
KLD_B02-0289,KLD,AF,144.8284049764514
KLD_B02-0292,KLD,AF,93.63648910606292
KLD_B02-0293,KLD,AF,72.17584007882343
KLD_B02-0296,KLD,AF,61.72597255299024
KLD_B02-0297,KLD,AF,68.80024162704476
KLD_B02-0301,KLD,AF,80.61290253505807
KLD_B02-0306,KLD,AF,97.57850506486429
KLD_B02-0309,KLD,AF,104.44096255015822
KLD_B02-0310,KLD,AF,90.66130975326145
KLD_B02-0316,KLD,AF,50.78852188954667
KLD_B02-0323,KLD,AF,112.30759140885294
KLD_B02-0325,KLD,AF,82.87068912620765
KLD_B02-0328,KLD,AF,152.79736977128888
KLD_B02-0334,KLD,AF,126.80909929019856
KLD_B03-0004,KLD,AF,89.58202261277911
KLD_B03-0010,KLD,AF,69.87938002343385
KLD_B03-0011,KLD,AF,88.35845370186297
KLD_B03-0016,KLD,AF,120.88224215132604
KLD_B03-0018,KLD,AF,94.4673736108499
KLD_B03-0027,KLD,AF,94.15382106231948
KLD_B03-0028,KLD,AF,101.17707091239586
KLD_B03-0032,KLD,AF,110.83680981498728
KLD_B03-0033,KLD,AF,95.6311473962873
KLD_B03-0034,KLD,AF,58.38889882135835
KLD_B03-0039,KLD,AF,113.32187738059343
KLD_B03-0047,KLD,AF,120.04704406783537
KLD_B03-0063,KLD,AF,75.73171637159774
KLD_B03-0068,KLD,AF,91.53101646638166
KLD_B03-0069,KLD,AF,91.3532672749709
KLD_B03-0079,KLD,AF,163.61909753019893
KLD_B03-0080,KLD,AF,59.20044659402532
KLD_B03-0083,KLD,AF,99.47737215904806
KLD_B03-0085,KLD,AF,73.42781911154665
KLD_B03-0090,KLD,AF,60.572908342265464
KLD_B03-0096,KLD,AF,185.71220644185559
KLD_B03-0103,KLD,AF,72.24842719632004
KLD_B03-0110,KLD,AF,89.63809913592712
KLD_B03-0114,KLD,AF,90.88472338129404
KLD_B03-0116,KLD,AF,81.5736406332355
KLD_B03-0122,KLD,AF,80.09408313786922
KLD_B03-0126,KLD,AF,82.08621277850867
KLD_B03-0132,KLD,AF,91.76320599591486
KLD_B03-0142,KLD,AF,74.47170515784006
KLD_B03-0148,KLD,AF,85.78354470394544
KLD_B03-0152,KLD,AF,87.72569632925935
KLD_B03-0156,KLD,AF,48.440001401526345
KLD_B03-0167,KLD,AF,101.05093592133616
KLD_B03-0180,KLD,AF,82.80405177244026
KLD_B03-0183,KLD,AF,61.556701774893654
KLD_B03-0186,KLD,AF,73.05194278795256
KLD_B03-0189,KLD,AF,98.34438840090942
KLD_B03-0193,KLD,AF,75.85026541390266
KLD_B03-0194,KLD,AF,77.76222198829073
KLD_B03-0198,KLD,AF,89.20436136006624
KLD_B03-0199,KLD,AF,78.97894867091827
WW_B01-0010,WW,AF,211.43363001968999
WW_B01-0012,WW,AF,101.44228163062627
WW_B01-0015,WW,AF,116.8039766031253
WW_B01-0018,WW,AF,91.91938729380713
WW_B01-0019,WW,AF,93.48015906407741
WW_B01-0020,WW,AF,85.54838029254762
WW_B01-0023,WW,AF,130.23571696595536
WW_B01-0042,WW,AF,68.68615490753677
WW_B01-0046,WW,AF,121.45446067798474
WW_B01-0060,WW,AF,190.8786837761325
WW_B01-0072,WW,AF,223.7441374077466
WW_B01-0073,WW,AF,156.22725981709675
WW_B01-0079,WW,AF,181.9610291546693
WW_B01-0083,WW,AF,297.5188277447074
WW_B01-0086,WW,AF,113.49977531609741
WW_B01-0088,WW,AF,237.49523133874308
WW_B01-0090,WW,AF,106.28598428259245
WW_B01-0091,WW,AF,97.50041441591814
WW_B01-0109,WW,AF,161.08092832330942
WW_B01-0118,WW,AF,98.46977967150295
WW_B01-0126,WW,AF,94.37574724941976
WW_B01-0127,WW,AF,192.30781702389356
WW_B01-0131,WW,AF,157.9842250463384
WW_B01-0133,WW,AF,92.98409751315286
WW_B01-0141,WW,AF,151.9481897430345
WW_B01-0157,WW,AF,93.55988589804909
WW_B01-0172,WW,AF,107.54569800816367
WW_B01-0176,WW,AF,117.5590016203646
WW_B01-0177,WW,AF,138.91790968783428
WW_B01-0179,WW,AF,57.27525179533971
WW_B01-0188,WW,AF,108.06302996442024
WW_B01-0190,WW,AF,79.98207883566647
WW_B01-0200,WW,AF,208.87939645073152
WW_B01-0210,WW,AF,104.0640450179115
WW_B01-0215,WW,AF,268.7636196413386
WW_B01-0225,WW,AF,148.26216236868328
WW_B01-0230,WW,AF,78.733818405274
WW_B01-0232,WW,AF,179.09101187578193
WW_B01-0235,WW,AF,88.41929003599434
WW_B01-0236,WW,AF,165.55098581307993
