sample_id,cultivar_code,PC1,PC2
A181_B01-0041,LA191,-0.716592184099478,-0.6675769655553101
A181_B01-0042,LA191,1.1015809918577217,0.2598898151447955
A181_B01-0043,LA191,-1.9643915354114503,-0.24744339437332435
A181_B01-0044,LA191,-0.2844918442796964,0.1099083080634315
A181_B01-0045,LA191,-0.24425073180241896,-0.4705755822034105
A181_B01-0046,LA191,-1.0919160640009689,-0.07879963819782002
A181_B01-0047,LA191,-0.3706686147925231,0.08084476710336276
A181_B01-0048,LA191,-1.7115491272214418,-1.033480044077895
A181_B01-0049,LA191,-2.692766233506843,-0.5738920742467558
A181_B01-0050,LA191,-1.132302799767607,-0.16857517113439593
A181_B01-0051,LA191,-1.7287030500160183,-0.36849150283297244
A181_B01-0052,LA191,-1.964708998925261,-0.42532494496269824
A181_B01-0053,LA191,-0.9748846035464277,-0.1909340958634252
A181_B01-0054,LA191,-0.5776877144186354,-0.43692755537008116
A181_B01-0055,LA191,-0.6097873305662257,0.04836134899386961
A181_B01-0056,LA191,-0.7218696786112465,-0.39461094677727593
A181_B01-0057,LA191,-1.2381134760643797,0.8099468305838577
A181_B01-0058,LA191,0.030480446048694113,-0.5390762993840785
A181_B01-0059,LA191,-0.45238990609522156,0.4308210639117599
A181_B01-0060,LA191,-0.3647230684761432,-0.43325758169234707
A181_B01-0061,LA191,-1.4738322719158288,0.058347794971667026
A181_B01-0063,LA191,-1.8153745237221932,-1.8987951899692106
A181_B01-0065,LA191,-0.24138553800724694,-0.2600227773569739
A181_B01-0066,LA191,-2.1760970506453123,-0.376429898750071
A181_B01-0067,LA191,-2.241773668532403,-1.3781384272076012
A181_B01-0068,LA191,-0.8384705660073745,-0.28403335973210997
A181_B01-0069,LA191,-1.4248167478567468,-0.3763674116215462
A181_B01-0070,LA191,-1.662829930207812,-0.14610454134655373
A181_B01-0071,LA191,-0.8328615378337523,-0.3089028439442686
A181_B01-0072,LA191,-1.5030439283310841,-0.5770566284691516
A181_B01-0073,LA191,-1.8040230591396014,0.048067576540070274
A181_B01-0074,LA191,-0.5614319150432285,-0.44996111030619823
A181_B01-0075,LA191,-0.7509054110768646,-0.5864405285791546
A181_B01-0076,LA191,-1.9143305656976746,-0.10257806674641998
A181_B01-0077,LA191,-2.412514322262495,0.16497821631407877
A181_B01-0078,LA191,-1.2856434843333697,-0.28336991077052687
A181_B01-0080,LA191,-1.084254786052299,-0.5892136137283366
